source,target,edge_type
R_Karnataka,A_10-11-2025,residence
R_Karnataka,A_01-12-2025,residence
R_Karnataka,A_22-12-2025,residence
R_Karnataka,A_30-10-2025,residence
R_Karnataka,A_17-09-2025,residence
R_Karnataka,A_01-03-2025,residence
R_Karnataka,A_04-11-2025,residence
R_Karnataka,A_18-11-2025,residence
R_Karnataka,A_27-10-2025,residence
R_Karnataka,A_08-11-2025,residence
R_Karnataka,A_08-12-2025,residence
R_Karnataka,A_17-11-2025,residence
R_Karnataka,A_05-12-2025,residence
R_Karnataka,A_09-12-2025,residence
R_Karnataka,A_12-11-2025,residence
R_Karnataka,A_20-09-2025,residence
R_Karnataka,A_23-12-2025,residence
R_Karnataka,A_28-11-2025,residence
R_Karnataka,A_12-12-2025,residence
R_Karnataka,A_07-11-2025,residence
R_Karnataka,A_20-10-2025,residence
R_Karnataka,A_31-10-2025,residence
R_Karnataka,A_10-09-2025,residence
R_Karnataka,A_07-09-2025,residence
R_Karnataka,A_26-10-2025,residence
R_Karnataka,A_15-10-2025,residence
R_Karnataka,A_11-12-2025,residence
R_Karnataka,A_16-12-2025,residence
R_Karnataka,A_21-12-2025,residence
R_Karnataka,A_03-12-2025,residence
R_Karnataka,A_19-11-2025,residence
R_Karnataka,A_02-09-2025,residence
R_Karnataka,A_12-09-2025,residence
R_Karnataka,A_29-10-2025,residence
R_Karnataka,A_15-11-2025,residence
R_Karnataka,A_09-11-2025,residence
R_Karnataka,A_26-11-2025,residence
R_Karnataka,A_14-12-2025,residence
R_Karnataka,A_20-12-2025,residence
R_Karnataka,A_01-05-2025,residence
R_Karnataka,A_14-11-2025,residence
R_Karnataka,A_19-12-2025,residence
R_Karnataka,A_25-11-2025,residence
R_Karnataka,A_28-10-2025,residence
R_Karnataka,A_17-10-2025,residence
R_Karnataka,A_28-12-2025,residence
R_Karnataka,A_01-11-2025,residence
R_Karnataka,A_19-10-2025,residence
R_Karnataka,A_03-09-2025,residence
R_Karnataka,A_04-09-2025,residence
R_Karnataka,A_21-10-2025,residence
R_Karnataka,A_06-11-2025,residence
R_Karnataka,A_13-11-2025,residence
R_Karnataka,A_01-04-2025,residence
R_Karnataka,A_11-11-2025,residence
R_Karnataka,A_03-11-2025,residence
R_Karnataka,A_15-12-2025,residence
R_Karnataka,A_15-09-2025,residence
R_Karnataka,A_05-09-2025,residence
R_Karnataka,A_14-09-2025,residence
R_Karnataka,A_18-12-2025,residence
R_Karnataka,A_23-10-2025,residence
R_Karnataka,A_16-11-2025,residence
A_10-09-2025,R_Odisha,residence
A_10-09-2025,B_44416,biometric
A_10-09-2025,R_West Bengal,residence
A_10-09-2025,B_39181,biometric
A_10-09-2025,R_Haryana,residence
A_10-09-2025,B_16546,biometric
A_10-09-2025,R_Uttar Pradesh,residence
A_10-09-2025,B_76272,biometric
A_10-09-2025,R_Maharashtra,residence
A_10-09-2025,B_51915,biometric
A_10-09-2025,R_Kerala,residence
A_10-09-2025,B_43151,biometric
A_10-09-2025,R_Bihar,residence
A_10-09-2025,B_70616,biometric
A_10-09-2025,R_Madhya Pradesh,residence
A_10-09-2025,B_53666,biometric
A_10-09-2025,B_10455,biometric
A_10-09-2025,R_Jharkhand,residence
A_10-09-2025,B_85750,biometric
A_10-09-2025,R_Tamil Nadu,residence
A_10-09-2025,B_59003,biometric
A_10-09-2025,R_Telangana,residence
A_10-09-2025,B_18520,biometric
A_10-09-2025,R_Andhra Pradesh,residence
A_10-09-2025,B_36921,biometric
A_10-09-2025,R_Himachal Pradesh,residence
A_10-09-2025,B_82196,biometric
A_10-09-2025,R_Gujarat,residence
A_10-09-2025,B_50959,biometric
A_10-09-2025,R_Tripura,residence
A_10-09-2025,B_64774,biometric
A_10-09-2025,R_Chhattisgarh,residence
A_10-09-2025,B_23320,biometric
A_10-09-2025,R_Rajasthan,residence
A_10-09-2025,B_79047,biometric
A_10-09-2025,R_Punjab,residence
A_10-09-2025,B_72255,biometric
A_10-09-2025,R_Uttarakhand,residence
A_10-09-2025,B_29709,biometric
A_10-09-2025,R_Jammu and Kashmir,residence
A_10-09-2025,B_87070,biometric
A_10-09-2025,R_Delhi,residence
A_10-09-2025,B_30359,biometric
R_Odisha,A_01-12-2025,residence
R_Odisha,A_03-12-2025,residence
R_Odisha,A_11-12-2025,residence
R_Odisha,A_31-10-2025,residence
R_Odisha,A_14-12-2025,residence
R_Odisha,A_17-09-2025,residence
R_Odisha,A_21-12-2025,residence
R_Odisha,A_16-12-2025,residence
R_Odisha,A_08-11-2025,residence
R_Odisha,A_19-10-2025,residence
R_Odisha,A_06-12-2025,residence
R_Odisha,A_02-11-2025,residence
R_Odisha,A_09-09-2025,residence
R_Odisha,A_28-12-2025,residence
R_Odisha,A_18-11-2025,residence
R_Odisha,A_26-11-2025,residence
R_Odisha,A_12-12-2025,residence
R_Odisha,A_07-11-2025,residence
R_Odisha,A_29-12-2025,residence
R_Odisha,A_13-09-2025,residence
R_Odisha,A_22-12-2025,residence
R_Odisha,A_27-12-2025,residence
R_Odisha,A_12-11-2025,residence
R_Odisha,A_04-12-2025,residence
R_Odisha,A_19-12-2025,residence
R_Odisha,A_06-09-2025,residence
R_Odisha,A_18-09-2025,residence
R_Odisha,A_09-12-2025,residence
R_Odisha,A_16-09-2025,residence
R_Odisha,A_05-12-2025,residence
R_Odisha,A_15-10-2025,residence
R_Odisha,A_01-03-2025,residence
R_Odisha,A_29-10-2025,residence
R_Odisha,A_11-11-2025,residence
R_Odisha,A_03-11-2025,residence
R_Odisha,A_17-11-2025,residence
R_Odisha,A_30-10-2025,residence
R_Odisha,A_13-10-2025,residence
R_Odisha,A_26-12-2025,residence
R_Odisha,A_28-11-2025,residence
R_Odisha,A_03-09-2025,residence
R_Odisha,A_01-11-2025,residence
R_Odisha,A_15-09-2025,residence
R_Odisha,A_21-10-2025,residence
R_Odisha,A_23-10-2025,residence
R_Odisha,A_20-10-2025,residence
R_Odisha,A_08-09-2025,residence
R_Odisha,A_12-09-2025,residence
R_Odisha,A_02-12-2025,residence
R_Odisha,A_28-10-2025,residence
R_Odisha,A_07-12-2025,residence
R_Odisha,A_27-10-2025,residence
R_Odisha,A_10-12-2025,residence
R_Odisha,A_25-10-2025,residence
R_Odisha,A_19-09-2025,residence
R_Odisha,A_23-12-2025,residence
R_Odisha,A_01-09-2025,residence
R_Odisha,A_04-11-2025,residence
R_Odisha,A_06-11-2025,residence
R_Odisha,A_14-09-2025,residence
R_Odisha,A_10-11-2025,residence
R_Odisha,A_16-10-2025,residence
R_Odisha,A_05-11-2025,residence
R_Odisha,A_16-11-2025,residence
R_Odisha,A_11-09-2025,residence
R_Odisha,A_08-12-2025,residence
R_Odisha,A_09-11-2025,residence
R_Odisha,A_17-10-2025,residence
R_Odisha,A_15-12-2025,residence
R_Odisha,A_05-09-2025,residence
R_Odisha,A_18-12-2025,residence
R_Odisha,A_20-12-2025,residence
R_Odisha,A_07-09-2025,residence
R_Odisha,A_19-11-2025,residence
R_Odisha,A_13-12-2025,residence
R_Odisha,A_24-10-2025,residence
A_25-12-2025,R_Uttar Pradesh,residence
A_25-12-2025,B_20626,biometric
A_25-12-2025,R_West Bengal,residence
A_25-12-2025,B_36079,biometric
A_25-12-2025,R_Telangana,residence
A_25-12-2025,B_21553,biometric
A_25-12-2025,R_Tamil Nadu,residence
A_25-12-2025,B_37895,biometric
A_25-12-2025,R_Uttarakhand,residence
A_25-12-2025,B_25009,biometric
A_25-12-2025,R_Rajasthan,residence
A_25-12-2025,B_17851,biometric
R_Uttar Pradesh,A_27-12-2025,residence
R_Uttar Pradesh,A_06-12-2025,residence
R_Uttar Pradesh,A_15-09-2025,residence
R_Uttar Pradesh,A_08-12-2025,residence
R_Uttar Pradesh,A_23-12-2025,residence
R_Uttar Pradesh,A_11-12-2025,residence
R_Uttar Pradesh,A_15-11-2025,residence
R_Uttar Pradesh,A_10-11-2025,residence
R_Uttar Pradesh,A_14-12-2025,residence
R_Uttar Pradesh,A_01-09-2025,residence
R_Uttar Pradesh,A_13-11-2025,residence
R_Uttar Pradesh,A_01-03-2025,residence
R_Uttar Pradesh,A_02-11-2025,residence
R_Uttar Pradesh,A_18-11-2025,residence
R_Uttar Pradesh,A_05-09-2025,residence
R_Uttar Pradesh,A_23-10-2025,residence
R_Uttar Pradesh,A_03-09-2025,residence
R_Uttar Pradesh,A_05-12-2025,residence
R_Uttar Pradesh,A_31-10-2025,residence
R_Uttar Pradesh,A_02-09-2025,residence
R_Uttar Pradesh,A_19-10-2025,residence
R_Uttar Pradesh,A_26-12-2025,residence
R_Uttar Pradesh,A_07-09-2025,residence
R_Uttar Pradesh,A_06-09-2025,residence
R_Uttar Pradesh,A_03-12-2025,residence
R_Uttar Pradesh,A_14-11-2025,residence
R_Uttar Pradesh,A_25-10-2025,residence
R_Uttar Pradesh,A_16-10-2025,residence
R_Uttar Pradesh,A_15-12-2025,residence
R_Uttar Pradesh,A_12-11-2025,residence
R_Uttar Pradesh,A_15-10-2025,residence
R_Uttar Pradesh,A_24-10-2025,residence
R_Uttar Pradesh,A_08-09-2025,residence
R_Uttar Pradesh,A_27-10-2025,residence
R_Uttar Pradesh,A_19-12-2025,residence
R_Uttar Pradesh,A_28-12-2025,residence
R_Uttar Pradesh,A_05-11-2025,residence
R_Uttar Pradesh,A_11-09-2025,residence
R_Uttar Pradesh,A_14-09-2025,residence
R_Uttar Pradesh,A_26-10-2025,residence
R_Uttar Pradesh,A_30-10-2025,residence
R_Uttar Pradesh,A_02-12-2025,residence
R_Uttar Pradesh,A_04-12-2025,residence
R_Uttar Pradesh,A_29-12-2025,residence
R_Uttar Pradesh,A_16-11-2025,residence
R_Uttar Pradesh,A_17-09-2025,residence
R_Uttar Pradesh,A_01-12-2025,residence
R_Uttar Pradesh,A_19-11-2025,residence
R_Uttar Pradesh,A_17-10-2025,residence
R_Uttar Pradesh,A_21-12-2025,residence
R_Uttar Pradesh,A_18-12-2025,residence
R_Uttar Pradesh,A_20-10-2025,residence
R_Uttar Pradesh,A_11-11-2025,residence
R_Uttar Pradesh,A_20-09-2025,residence
R_Uttar Pradesh,A_04-11-2025,residence
R_Uttar Pradesh,A_22-12-2025,residence
R_Uttar Pradesh,A_10-12-2025,residence
R_Uttar Pradesh,A_06-11-2025,residence
R_Uttar Pradesh,A_17-11-2025,residence
R_Uttar Pradesh,A_12-12-2025,residence
R_Uttar Pradesh,A_19-09-2025,residence
R_Uttar Pradesh,A_04-09-2025,residence
R_Uttar Pradesh,A_09-09-2025,residence
R_Uttar Pradesh,A_03-11-2025,residence
R_Uttar Pradesh,A_25-11-2025,residence
R_Uttar Pradesh,A_20-12-2025,residence
R_Uttar Pradesh,A_29-10-2025,residence
R_Uttar Pradesh,A_07-12-2025,residence
R_Uttar Pradesh,A_28-10-2025,residence
R_Uttar Pradesh,A_13-10-2025,residence
R_Uttar Pradesh,A_12-09-2025,residence
R_Uttar Pradesh,A_21-10-2025,residence
R_Uttar Pradesh,A_16-12-2025,residence
R_Uttar Pradesh,A_09-12-2025,residence
R_Uttar Pradesh,A_18-10-2025,residence
R_Uttar Pradesh,A_08-11-2025,residence
R_Uttar Pradesh,A_13-12-2025,residence
R_Uttar Pradesh,A_01-11-2025,residence
R_Uttar Pradesh,A_07-11-2025,residence
R_Uttar Pradesh,A_09-11-2025,residence
R_Uttar Pradesh,A_01-06-2025,residence
A_27-12-2025,B_93796,biometric
A_27-12-2025,B_59613,biometric
A_27-12-2025,R_Kerala,residence
A_27-12-2025,B_26917,biometric
A_27-12-2025,R_Gujarat,residence
A_27-12-2025,B_64202,biometric
A_27-12-2025,R_Maharashtra,residence
A_27-12-2025,B_65158,biometric
A_27-12-2025,B_37132,biometric
A_27-12-2025,R_Punjab,residence
A_27-12-2025,B_70315,biometric
A_27-12-2025,R_Tamil Nadu,residence
A_27-12-2025,B_42937,biometric
A_27-12-2025,R_Telangana,residence
A_27-12-2025,B_83420,biometric
A_27-12-2025,R_Andhra Pradesh,residence
A_27-12-2025,B_33147,biometric
A_27-12-2025,R_Assam,residence
A_27-12-2025,B_92366,biometric
A_27-12-2025,R_Rajasthan,residence
A_27-12-2025,B_77107,biometric
A_27-12-2025,R_Madhya Pradesh,residence
A_27-12-2025,B_27882,biometric
A_27-12-2025,R_Orissa,residence
A_27-12-2025,B_38011,biometric
A_27-12-2025,R_Chhattisgarh,residence
A_27-12-2025,B_58228,biometric
A_27-12-2025,R_Uttarakhand,residence
A_27-12-2025,B_19967,biometric
A_27-12-2025,R_Jharkhand,residence
A_27-12-2025,B_63926,biometric
A_27-12-2025,R_Haryana,residence
A_27-12-2025,B_85394,biometric
A_27-12-2025,R_Himachal Pradesh,residence
A_27-12-2025,B_19744,biometric
A_27-12-2025,R_Jammu and Kashmir,residence
A_27-12-2025,B_89010,biometric
A_27-12-2025,R_Mizoram,residence
A_27-12-2025,B_49418,biometric
A_27-12-2025,R_Bihar,residence
A_27-12-2025,B_68676,biometric
A_27-12-2025,R_West Bengal,residence
A_27-12-2025,B_42367,biometric
A_27-12-2025,R_Delhi,residence
A_27-12-2025,B_71581,biometric
A_18-11-2025,R_Bihar,residence
A_18-11-2025,B_6548,biometric
A_18-11-2025,R_Jharkhand,residence
A_18-11-2025,B_88702,biometric
A_18-11-2025,B_87805,biometric
A_18-11-2025,B_78012,biometric
A_18-11-2025,B_18733,biometric
A_18-11-2025,R_West Bengal,residence
A_18-11-2025,B_67143,biometric
A_18-11-2025,R_Maharashtra,residence
A_18-11-2025,B_11234,biometric
A_18-11-2025,R_Andhra Pradesh,residence
A_18-11-2025,B_51546,biometric
A_18-11-2025,R_Uttarakhand,residence
A_18-11-2025,B_44743,biometric
A_18-11-2025,R_Madhya Pradesh,residence
A_18-11-2025,B_20786,biometric
A_18-11-2025,R_Kerala,residence
A_18-11-2025,B_54684,biometric
A_18-11-2025,R_Chhattisgarh,residence
A_18-11-2025,B_83004,biometric
A_18-11-2025,R_Haryana,residence
A_18-11-2025,B_96207,biometric
A_18-11-2025,R_Meghalaya,residence
A_18-11-2025,B_17116,biometric
A_18-11-2025,R_Gujarat,residence
A_18-11-2025,B_39426,biometric
A_18-11-2025,R_Assam,residence
A_18-11-2025,B_89235,biometric
A_18-11-2025,R_Punjab,residence
A_18-11-2025,B_51916,biometric
A_18-11-2025,R_Rajasthan,residence
A_18-11-2025,B_58708,biometric
R_Bihar,A_02-12-2025,residence
R_Bihar,A_01-03-2025,residence
R_Bihar,A_06-09-2025,residence
R_Bihar,A_02-11-2025,residence
R_Bihar,A_07-12-2025,residence
R_Bihar,A_04-12-2025,residence
R_Bihar,A_16-12-2025,residence
R_Bihar,A_01-12-2025,residence
R_Bihar,A_14-12-2025,residence
R_Bihar,A_07-11-2025,residence
R_Bihar,A_03-09-2025,residence
R_Bihar,A_13-09-2025,residence
R_Bihar,A_08-12-2025,residence
R_Bihar,A_21-10-2025,residence
R_Bihar,A_20-09-2025,residence
R_Bihar,A_13-12-2025,residence
R_Bihar,A_23-12-2025,residence
R_Bihar,A_11-11-2025,residence
R_Bihar,A_16-11-2025,residence
R_Bihar,A_06-12-2025,residence
R_Bihar,A_11-09-2025,residence
R_Bihar,A_26-12-2025,residence
R_Bihar,A_26-11-2025,residence
R_Bihar,A_03-11-2025,residence
R_Bihar,A_19-11-2025,residence
R_Bihar,A_26-10-2025,residence
R_Bihar,A_05-09-2025,residence
R_Bihar,A_12-12-2025,residence
R_Bihar,A_15-09-2025,residence
R_Bihar,A_17-10-2025,residence
R_Bihar,A_12-11-2025,residence
R_Bihar,A_28-11-2025,residence
R_Bihar,A_18-12-2025,residence
R_Bihar,A_11-12-2025,residence
R_Bihar,A_05-12-2025,residence
R_Bihar,A_08-11-2025,residence
R_Bihar,A_02-09-2025,residence
R_Bihar,A_14-09-2025,residence
R_Bihar,A_10-12-2025,residence
R_Bihar,A_09-09-2025,residence
R_Bihar,A_15-10-2025,residence
R_Bihar,A_08-09-2025,residence
R_Bihar,A_22-12-2025,residence
R_Bihar,A_01-11-2025,residence
R_Bihar,A_16-09-2025,residence
R_Bihar,A_20-12-2025,residence
R_Bihar,A_06-11-2025,residence
R_Bihar,A_14-11-2025,residence
R_Bihar,A_04-11-2025,residence
R_Bihar,A_01-09-2025,residence
R_Bihar,A_28-12-2025,residence
R_Bihar,A_13-11-2025,residence
R_Bihar,A_18-09-2025,residence
R_Bihar,A_20-10-2025,residence
R_Bihar,A_19-12-2025,residence
R_Bihar,A_15-11-2025,residence
R_Bihar,A_04-09-2025,residence
R_Bihar,A_27-10-2025,residence
R_Bihar,A_09-11-2025,residence
R_Bihar,A_16-10-2025,residence
R_Bihar,A_29-12-2025,residence
R_Bihar,A_19-09-2025,residence
R_Bihar,A_25-11-2025,residence
R_Bihar,A_24-10-2025,residence
R_Bihar,A_15-12-2025,residence
R_Bihar,A_24-12-2025,residence
R_Bihar,A_17-11-2025,residence
R_Bihar,A_30-10-2025,residence
R_Bihar,A_03-12-2025,residence
R_Bihar,A_05-11-2025,residence
R_Bihar,A_31-10-2025,residence
R_Bihar,A_09-12-2025,residence
R_Bihar,A_28-10-2025,residence
A_01-09-2025,R_Dadra & Nagar Haveli,residence
A_01-09-2025,B_15751,biometric
A_01-09-2025,B_13295,biometric
A_01-09-2025,R_Kerala,residence
A_01-09-2025,B_46416,biometric
A_01-09-2025,B_79112,biometric
A_01-09-2025,R_West Bengal,residence
A_01-09-2025,B_28748,biometric
A_01-09-2025,R_Tamil Nadu,residence
A_01-09-2025,B_30564,biometric
A_01-09-2025,R_Haryana,residence
A_01-09-2025,B_73021,biometric
A_01-09-2025,R_Madhya Pradesh,residence
A_01-09-2025,B_48442,biometric
A_01-09-2025,R_Maharashtra,residence
A_01-09-2025,B_10134,biometric
A_01-09-2025,R_Rajasthan,residence
A_01-09-2025,B_89480,biometric
A_01-09-2025,B_18951,biometric
A_01-09-2025,R_Andhra Pradesh,residence
A_01-09-2025,B_52646,biometric
A_01-09-2025,B_17633,biometric
A_01-09-2025,R_Orissa,residence
A_01-09-2025,B_18512,biometric
A_01-09-2025,R_Chhattisgarh,residence
A_01-09-2025,B_38729,biometric
A_01-09-2025,R_Punjab,residence
A_01-09-2025,B_17312,biometric
A_01-09-2025,R_Gujarat,residence
A_01-09-2025,B_11090,biometric
A_01-09-2025,R_Assam,residence
A_01-09-2025,B_79993,biometric
A_01-09-2025,R_Himachal Pradesh,residence
A_01-09-2025,B_7371,biometric
R_Dadra & Nagar Haveli,A_10-12-2025,residence
A_13-09-2025,B_28640,biometric
A_13-09-2025,R_Maharashtra,residence
A_13-09-2025,B_23095,biometric
A_13-09-2025,R_Punjab,residence
A_13-09-2025,B_93048,biometric
A_13-09-2025,B_88801,biometric
A_13-09-2025,R_Tamil Nadu,residence
A_13-09-2025,B_45316,biometric
A_13-09-2025,R_Haryana,residence
A_13-09-2025,B_2859,biometric
A_13-09-2025,B_25385,biometric
A_13-09-2025,R_Assam,residence
A_13-09-2025,B_95887,biometric
A_13-09-2025,R_Andhra Pradesh,residence
A_13-09-2025,B_11931,biometric
A_13-09-2025,R_Kerala,residence
A_13-09-2025,B_61336,biometric
A_13-09-2025,R_Chhattisgarh,residence
A_13-09-2025,B_5135,biometric
A_13-09-2025,R_Jharkhand,residence
A_13-09-2025,B_99437,biometric
A_13-09-2025,R_Madhya Pradesh,residence
A_13-09-2025,B_35481,biometric
A_13-09-2025,R_Telangana,residence
A_13-09-2025,B_63295,biometric
A_13-09-2025,R_Rajasthan,residence
A_13-09-2025,B_97232,biometric
A_13-09-2025,R_Mizoram,residence
A_13-09-2025,B_38835,biometric
A_13-09-2025,R_Gujarat,residence
A_13-09-2025,B_24051,biometric
A_13-09-2025,R_Orissa,residence
A_13-09-2025,B_25352,biometric
A_13-09-2025,R_Manipur,residence
A_13-09-2025,B_19302,biometric
A_06-12-2025,B_63437,biometric
A_06-12-2025,B_97620,biometric
A_06-12-2025,R_West Bengal,residence
A_06-12-2025,B_8841,biometric
A_06-12-2025,B_94365,biometric
A_06-12-2025,R_Jharkhand,residence
A_06-12-2025,B_64334,biometric
A_06-12-2025,B_69084,biometric
A_06-12-2025,R_Delhi,residence
A_06-12-2025,B_85652,biometric
A_06-12-2025,R_Madhya Pradesh,residence
A_06-12-2025,B_28290,biometric
A_06-12-2025,R_Tamil Nadu,residence
A_06-12-2025,B_42529,biometric
A_06-12-2025,R_Gujarat,residence
A_06-12-2025,B_63794,biometric
A_06-12-2025,R_Punjab,residence
A_06-12-2025,B_24068,biometric
A_06-12-2025,R_Assam,residence
A_06-12-2025,B_64867,biometric
A_06-12-2025,R_Maharashtra,residence
A_06-12-2025,B_64750,biometric
A_06-12-2025,R_Kerala,residence
A_06-12-2025,B_30316,biometric
A_06-12-2025,R_Telangana,residence
A_06-12-2025,B_94315,biometric
A_06-12-2025,R_Andhra Pradesh,residence
A_06-12-2025,B_24086,biometric
A_06-12-2025,R_Haryana,residence
A_06-12-2025,B_71839,biometric
A_06-12-2025,R_Orissa,residence
A_06-12-2025,B_56372,biometric
A_06-12-2025,R_Rajasthan,residence
A_06-12-2025,B_66212,biometric
A_06-12-2025,R_Pondicherry,residence
A_06-12-2025,B_46494,biometric
A_06-12-2025,R_Jammu and Kashmir,residence
A_06-12-2025,B_31777,biometric
A_06-12-2025,R_Himachal Pradesh,residence
A_06-12-2025,B_37489,biometric
A_06-12-2025,R_Arunachal Pradesh,residence
A_06-12-2025,B_96286,biometric
A_06-12-2025,R_Manipur,residence
A_06-12-2025,B_88282,biometric
A_06-12-2025,R_Tripura,residence
A_06-12-2025,B_77609,biometric
A_06-12-2025,R_Puducherry,residence
A_06-12-2025,B_27175,biometric
A_06-12-2025,R_Chhattisgarh,residence
A_06-12-2025,B_58636,biometric
A_02-12-2025,B_19851,biometric
A_02-12-2025,R_Chhattisgarh,residence
A_02-12-2025,B_37829,biometric
A_02-12-2025,B_76813,biometric
A_02-12-2025,R_Tamil Nadu,residence
A_02-12-2025,B_63336,biometric
A_02-12-2025,R_Gujarat,residence
A_02-12-2025,B_84601,biometric
A_02-12-2025,R_West Bengal,residence
A_02-12-2025,B_29648,biometric
A_02-12-2025,R_Assam,residence
A_02-12-2025,B_44060,biometric
A_02-12-2025,R_Delhi,residence
A_02-12-2025,B_64845,biometric
A_02-12-2025,R_Andhra Pradesh,residence
A_02-12-2025,B_3279,biometric
A_02-12-2025,B_42630,biometric
A_02-12-2025,R_Rajasthan,residence
A_02-12-2025,B_45405,biometric
A_02-12-2025,R_Kerala,residence
A_02-12-2025,B_9509,biometric
A_02-12-2025,B_73558,biometric
A_02-12-2025,R_Maharashtra,residence
A_02-12-2025,B_85557,biometric
A_02-12-2025,R_Manipur,residence
A_02-12-2025,B_67475,biometric
A_02-12-2025,R_Haryana,residence
A_02-12-2025,B_51032,biometric
A_02-12-2025,R_Telangana,residence
A_02-12-2025,B_15122,biometric
A_02-12-2025,R_Jammu and Kashmir,residence
A_02-12-2025,B_52584,biometric
A_02-12-2025,R_Punjab,residence
A_02-12-2025,B_44875,biometric
A_02-12-2025,R_Madhya Pradesh,residence
A_02-12-2025,B_7483,biometric
A_02-12-2025,R_Jharkhand,residence
A_02-12-2025,B_43527,biometric
A_02-12-2025,R_Goa,residence
A_02-12-2025,B_13122,biometric
A_12-11-2025,R_Telangana,residence
A_12-11-2025,B_76512,biometric
A_12-11-2025,R_Kerala,residence
A_12-11-2025,B_18601,biometric
A_12-11-2025,R_Punjab,residence
A_12-11-2025,B_21369,biometric
A_12-11-2025,R_Tamil Nadu,residence
A_12-11-2025,B_60170,biometric
A_12-11-2025,R_Andhra Pradesh,residence
A_12-11-2025,B_56703,biometric
A_12-11-2025,R_Maharashtra,residence
A_12-11-2025,B_6077,biometric
A_12-11-2025,R_West Bengal,residence
A_12-11-2025,B_61986,biometric
A_12-11-2025,R_Orissa,residence
A_12-11-2025,B_53673,biometric
A_12-11-2025,R_Gujarat,residence
A_12-11-2025,B_7033,biometric
A_12-11-2025,R_Tripura,residence
A_12-11-2025,B_93218,biometric
A_12-11-2025,B_83169,biometric
A_12-11-2025,B_17352,biometric
A_12-11-2025,B_86424,biometric
A_12-11-2025,R_Madhya Pradesh,residence
A_12-11-2025,B_52499,biometric
A_12-11-2025,B_23008,biometric
A_12-11-2025,R_Assam,residence
A_12-11-2025,B_84050,biometric
A_12-11-2025,R_Puducherry,residence
A_12-11-2025,B_53614,biometric
A_12-11-2025,R_Himachal Pradesh,residence
A_12-11-2025,B_11428,biometric
A_12-11-2025,R_Rajasthan,residence
A_12-11-2025,B_14577,biometric
A_12-11-2025,R_Jammu and Kashmir,residence
A_12-11-2025,B_70922,biometric
A_12-11-2025,R_Haryana,residence
A_12-11-2025,B_77078,biometric
A_12-11-2025,R_Chhattisgarh,residence
A_12-11-2025,B_34672,biometric
A_12-11-2025,R_Delhi,residence
A_12-11-2025,B_63265,biometric
A_12-11-2025,R_Andaman and Nicobar Islands,residence
A_12-11-2025,B_65559,biometric
A_12-11-2025,R_Jharkhand,residence
A_12-11-2025,B_84583,biometric
A_12-11-2025,R_Uttarakhand,residence
A_12-11-2025,B_28542,biometric
A_12-11-2025,R_Lakshadweep,residence
A_12-11-2025,B_22672,biometric
R_Telangana,A_20-10-2025,residence
